DOR CODE,Name,Rating Agency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2017,2019,2020,2021,2023
82,Duxbury,S&P,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
86,Eastham,S&P,A+,A+,A+,A+,A+,A+,A+,A+,AA,AA,AA,AA,AAA,AAA,AA+,AA+,AA+,AA+,AA+
91,Erving,S&P,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,A,A,,,,,,,AA
96,Falmouth,S&P,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA
97,Fitchburg,S&P,A (SPUR),A,A-,A-,A-,BBB+,BBB-,BBB-,BBB+,BBB+,A-,A-,A+,A+,A+,A+,A+,A+,AA-
101,Franklin,S&P,AA-,AA,AA-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AAA
107,Gloucester,S&P,A+,A+,A+,-,-,,,,A,A,A,A,AA,AA,AA,AA,AA,AA,AA
110,Grafton,S&P,A+,AA-,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
125,Harvard,S&P,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
126,Harwich,S&P,AA,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA
128,Haverhill,S&P,BBB,BBB,BBB,BBB,BBB+,A-,A-,A-,A-,A-,A+,A+,AA,AA,AA,AA,AA,AA,AA
131,Hingham,S&P,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
132,Hinsdale,S&P,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,NR,NR,,,,,,,
136,Holliston,S&P,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AAA,AAA
137,Holyoke,S&P,BBB+ (SPUR),BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,A+,A+,,,A+,A+,A+,A+,A+
139,Hopkinton,S&P,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
141,Hudson,S&P,A+,A+,A+,A+,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
146,Lakeville,S&P,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AA+
150,Lee,S&P,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,AA-,AA-,AA,AA,AA,AA,AA,AA,AA
158,Littleton,S&P,A+,A+,A+,A+,A+,A+,A+,A+,AA,AA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
168,Marblehead,S&P,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
170,Marlborough,S&P,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA
171,Marshfield,S&P,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
172,Mashpee,S&P,A+,A+,A+,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
176,Medford,S&P,AA-,AA-,AA-,AA-,A+,A+,A+,A+,A+,A+,A+,A+,AA,AA,AA,AA+,AA+,AA+,AA+
198,Natick,S&P,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
199,Needham,S&P,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
210,North Andover,S&P,A (SPUR),A,A,A+,A+,A+,A+,AA,AA,AA,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA
216,Northbridge,S&P,A+,A+,A+,A+,A+,A+,A-,A-,A-,A-,A+,A+,AA,AA,AA,AA,AA,AA+,AA+
219,Norwell,S&P,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
220,Norwood,S&P,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
224,Orleans,S&P,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
229,Peabody,S&P,AA+,AA+,AA+,AA,AA,,,,,,,-,,,,,,,
236,Pittsfield,S&P,Confidential,,Confidential,,,BBB+,BBB+,BBB+,BBB+,BBB+,A,A,A+,A+,A+,A+,A+,A+,A+
